Warehouse_block,Mode_of_Shipment,Cost_of_the_Product,Product_importance,Discount_offered,Reached.on.Time_Y.N,Customer_calls_class,Prior_purchase_category,Weight_category
F,Ship,271,medium,8,late,occasionally calls,0-3 purchase,light
A,Ship,144,medium,5,late,seldom calls,> 3 purchase,light
B,Ship,145,medium,21,late,occasionally calls,0-3 purchase,light
C,Ship,143,medium,59,late,frequently calls,0-3 purchase,light
F,Ship,227,low,53,late,frequently calls,> 3 purchase,light
D,Ship,213,low,29,late,seldom calls,0-3 purchase,light
F,Ship,144,low,37,late,frequently calls,> 3 purchase,light
A,Ship,218,low,3,late,seldom calls,0-3 purchase,light
B,Ship,144,medium,59,late,occasionally calls,0-3 purchase,light
C,Ship,238,low,17,late,seldom calls,0-3 purchase,light
F,Ship,216,high,26,late,occasionally calls,0-3 purchase,light
D,Ship,238,high,55,late,occasionally calls,0-3 purchase,medium
F,Ship,141,medium,47,late,occasionally calls,0-3 purchase,light
A,Road,158,low,2,late,seldom calls,0-3 purchase,light
B,Road,239,low,65,late,occasionally calls,0-3 purchase,medium
C,Road,175,low,25,late,occasionally calls,0-3 purchase,light
F,Road,263,low,41,late,seldom calls,0-3 purchase,light
D,Road,168,high,50,late,seldom calls,0-3 purchase,light
F,Road,176,high,36,late,seldom calls,0-3 purchase,light
A,Road,150,high,60,late,occasionally calls,> 3 purchase,light
B,Road,265,medium,31,late,occasionally calls,0-3 purchase,light
C,Road,263,low,5,late,seldom calls,0-3 purchase,medium
F,Road,145,low,20,late,frequently calls,0-3 purchase,light
D,Road,183,low,33,late,occasionally calls,0-3 purchase,light
F,Road,205,medium,19,late,seldom calls,0-3 purchase,light
A,Road,160,low,64,late,occasionally calls,0-3 purchase,light
B,Road,252,medium,48,late,seldom calls,0-3 purchase,light
C,Road,222,low,10,late,frequently calls,0-3 purchase,light
F,Road,203,low,25,late,seldom calls,0-3 purchase,medium
D,Road,220,medium,40,late,occasionally calls,0-3 purchase,medium
F,Road,147,low,60,late,seldom calls,> 3 purchase,light
A,Road,200,medium,16,late,occasionally calls,> 3 purchase,light
B,Road,224,medium,21,late,occasionally calls,> 3 purchase,light
C,Road,179,low,17,late,seldom calls,0-3 purchase,light
F,Road,144,low,50,late,seldom calls,0-3 purchase,light
D,Flight,247,low,17,late,frequently calls,0-3 purchase,medium
F,Flight,280,medium,51,late,frequently calls,> 3 purchase,medium
A,Flight,168,medium,1,late,seldom calls,0-3 purchase,light
B,Flight,157,medium,4,late,seldom calls,0-3 purchase,light
C,Flight,189,medium,51,late,seldom calls,> 3 purchase,light
F,Flight,162,medium,7,late,seldom calls,0-3 purchase,light
D,Flight,207,low,48,late,occasionally calls,> 3 purchase,light
F,Flight,237,low,10,late,frequently calls,0-3 purchase,medium
A,Flight,264,high,59,late,occasionally calls,0-3 purchase,light
B,Flight,149,low,51,late,frequently calls,0-3 purchase,light
C,Flight,162,low,41,late,frequently calls,0-3 purchase,light
F,Flight,205,medium,63,late,seldom calls,> 3 purchase,light
D,Flight,158,medium,51,late,seldom calls,0-3 purchase,light
F,Flight,248,low,46,late,seldom calls,0-3 purchase,medium
A,Flight,191,low,23,late,seldom calls,0-3 purchase,medium
B,Flight,146,medium,24,late,occasionally calls,> 3 purchase,light
C,Flight,135,low,56,late,seldom calls,0-3 purchase,light
F,Flight,149,low,40,late,frequently calls,0-3 purchase,light
D,Flight,220,medium,7,late,occasionally calls,0-3 purchase,light
F,Flight,98,medium,44,late,frequently calls,> 3 purchase,light
A,Flight,97,low,32,late,seldom calls,> 3 purchase,light
B,Flight,183,low,53,late,seldom calls,0-3 purchase,medium
C,Ship,162,medium,8,late,seldom calls,0-3 purchase,light
F,Ship,114,low,47,late,frequently calls,> 3 purchase,light
D,Ship,275,low,41,late,frequently calls,> 3 purchase,light
F,Ship,203,medium,39,late,seldom calls,0-3 purchase,medium
A,Ship,205,high,65,late,frequently calls,0-3 purchase,medium
B,Ship,149,low,63,late,seldom calls,0-3 purchase,light
C,Ship,112,medium,56,late,seldom calls,> 3 purchase,light
F,Ship,207,medium,56,late,seldom calls,0-3 purchase,medium
D,Ship,261,low,58,late,occasionally calls,> 3 purchase,medium
F,Ship,274,medium,6,late,frequently calls,0-3 purchase,medium
A,Ship,141,low,52,late,seldom calls,0-3 purchase,light
B,Ship,166,medium,17,late,seldom calls,> 3 purchase,light
C,Ship,141,high,34,late,frequently calls,0-3 purchase,light
F,Ship,152,low,43,late,occasionally calls,0-3 purchase,light
D,Ship,250,low,53,late,occasionally calls,0-3 purchase,light
F,Ship,161,medium,28,late,occasionally calls,0-3 purchase,light
A,Ship,185,medium,10,late,occasionally calls,0-3 purchase,light
B,Ship,176,high,52,late,occasionally calls,> 3 purchase,light
C,Ship,148,low,56,late,seldom calls,0-3 purchase,light
F,Ship,270,low,63,late,seldom calls,0-3 purchase,light
D,Ship,242,low,51,late,seldom calls,0-3 purchase,medium
F,Ship,150,medium,3,late,occasionally calls,0-3 purchase,light
A,Ship,192,high,20,late,occasionally calls,0-3 purchase,medium
B,Ship,116,medium,54,late,occasionally calls,0-3 purchase,light
C,Ship,192,medium,2,late,seldom calls,0-3 purchase,medium
F,Ship,255,medium,3,late,frequently calls,> 3 purchase,medium
D,Ship,161,medium,18,late,occasionally calls,> 3 purchase,light
F,Ship,157,low,20,late,occasionally calls,0-3 purchase,light
A,Ship,164,high,28,late,seldom calls,> 3 purchase,light
B,Ship,162,medium,16,late,seldom calls,> 3 purchase,light
C,Ship,146,low,50,late,seldom calls,0-3 purchase,light
F,Ship,209,medium,54,late,seldom calls,0-3 purchase,medium
D,Ship,134,medium,55,late,frequently calls,0-3 purchase,light
F,Ship,222,medium,5,late,seldom calls,0-3 purchase,medium
A,Ship,139,low,27,late,seldom calls,0-3 purchase,light
B,Ship,134,low,42,late,seldom calls,0-3 purchase,light
C,Ship,130,low,16,late,seldom calls,0-3 purchase,light
F,Ship,133,low,62,late,seldom calls,0-3 purchase,light
D,Ship,140,low,7,late,seldom calls,0-3 purchase,light
F,Ship,158,low,28,late,seldom calls,0-3 purchase,light
A,Ship,270,low,46,late,occasionally calls,> 3 purchase,light
B,Ship,140,low,30,late,seldom calls,0-3 purchase,light
C,Ship,135,low,15,late,seldom calls,0-3 purchase,light
F,Ship,136,low,19,late,seldom calls,0-3 purchase,light
D,Ship,142,medium,38,late,seldom calls,0-3 purchase,heavy
F,Ship,154,medium,38,late,seldom calls,0-3 purchase,heavy
A,Ship,139,low,9,late,seldom calls,0-3 purchase,light
B,Ship,160,low,43,late,seldom calls,0-3 purchase,light
C,Ship,134,low,58,late,seldom calls,0-3 purchase,light
F,Ship,161,high,48,late,frequently calls,> 3 purchase,light
D,Ship,155,low,23,late,seldom calls,0-3 purchase,light
F,Ship,145,medium,24,late,seldom calls,0-3 purchase,heavy
A,Ship,157,low,1,late,seldom calls,0-3 purchase,light
B,Ship,160,low,48,late,seldom calls,0-3 purchase,light
C,Ship,152,low,55,late,seldom calls,0-3 purchase,light
F,Ship,148,high,11,late,seldom calls,0-3 purchase,light
D,Ship,127,low,15,late,seldom calls,0-3 purchase,light
F,Ship,154,low,21,late,seldom calls,0-3 purchase,light
A,Ship,127,low,44,late,seldom calls,0-3 purchase,light
B,Ship,160,medium,31,late,seldom calls,0-3 purchase,heavy
C,Ship,129,low,48,late,seldom calls,0-3 purchase,light
F,Ship,158,low,40,late,seldom calls,0-3 purchase,light
D,Ship,185,medium,3,late,occasionally calls,0-3 purchase,medium
F,Ship,176,high,63,late,occasionally calls,> 3 purchase,light
A,Ship,148,low,37,late,seldom calls,0-3 purchase,light
B,Ship,270,low,60,late,seldom calls,0-3 purchase,medium
C,Ship,242,low,29,late,seldom calls,0-3 purchase,light
F,Ship,150,medium,31,late,occasionally calls,0-3 purchase,light
D,Ship,192,high,4,late,occasionally calls,0-3 purchase,light
F,Ship,116,medium,9,late,occasionally calls,0-3 purchase,light
A,Ship,192,medium,31,late,seldom calls,0-3 purchase,medium
B,Ship,255,medium,38,late,frequently calls,> 3 purchase,light
C,Ship,161,medium,63,late,occasionally calls,> 3 purchase,light
F,Ship,157,low,48,late,occasionally calls,0-3 purchase,light
D,Ship,164,high,14,late,seldom calls,> 3 purchase,light
F,Ship,162,medium,42,late,seldom calls,> 3 purchase,light
A,Ship,146,low,54,late,seldom calls,0-3 purchase,light
B,Ship,209,medium,60,late,seldom calls,0-3 purchase,light
C,Ship,134,medium,53,late,frequently calls,0-3 purchase,light
F,Ship,222,medium,58,late,seldom calls,0-3 purchase,medium
D,Ship,139,low,39,late,seldom calls,0-3 purchase,light
F,Ship,134,low,38,late,seldom calls,0-3 purchase,light
A,Ship,130,low,48,late,seldom calls,0-3 purchase,light
B,Ship,133,low,5,late,seldom calls,0-3 purchase,light
C,Ship,140,low,23,late,seldom calls,0-3 purchase,light
F,Ship,158,low,10,late,seldom calls,0-3 purchase,light
D,Ship,270,low,65,late,occasionally calls,> 3 purchase,light
F,Ship,140,low,33,late,seldom calls,0-3 purchase,light
A,Ship,135,low,58,late,seldom calls,0-3 purchase,light
B,Ship,136,low,43,late,seldom calls,0-3 purchase,light
C,Ship,142,medium,8,late,seldom calls,0-3 purchase,heavy
F,Ship,154,medium,48,late,seldom calls,0-3 purchase,heavy
D,Ship,139,low,3,late,seldom calls,0-3 purchase,light
F,Road,160,low,50,late,seldom calls,0-3 purchase,light
A,Road,134,low,38,late,seldom calls,0-3 purchase,light
B,Road,161,high,54,late,frequently calls,> 3 purchase,light
C,Road,155,low,45,late,seldom calls,0-3 purchase,light
F,Road,145,medium,5,late,seldom calls,0-3 purchase,heavy
D,Road,157,low,58,late,seldom calls,0-3 purchase,light
F,Road,160,low,19,late,seldom calls,0-3 purchase,light
A,Road,152,low,61,late,seldom calls,0-3 purchase,light
B,Road,148,high,35,late,seldom calls,0-3 purchase,light
C,Road,127,low,13,late,seldom calls,0-3 purchase,light
F,Road,129,medium,22,late,seldom calls,0-3 purchase,heavy
D,Road,158,low,13,late,seldom calls,0-3 purchase,light
F,Road,147,low,5,late,seldom calls,0-3 purchase,light
A,Road,159,low,49,late,seldom calls,0-3 purchase,light
B,Road,151,low,23,late,seldom calls,0-3 purchase,light
C,Road,294,low,52,late,seldom calls,> 3 purchase,light
F,Road,226,medium,45,late,seldom calls,0-3 purchase,light
D,Road,271,high,9,late,frequently calls,> 3 purchase,light
F,Road,203,medium,61,late,frequently calls,> 3 purchase,light
A,Road,264,low,10,late,seldom calls,> 3 purchase,light
B,Road,258,medium,36,late,occasionally calls,0-3 purchase,light
C,Road,241,low,21,late,seldom calls,0-3 purchase,medium
F,Flight,208,medium,23,late,occasionally calls,0-3 purchase,light
D,Flight,209,medium,12,late,seldom calls,> 3 purchase,medium
F,Flight,182,medium,23,late,frequently calls,0-3 purchase,light
A,Flight,148,medium,43,late,occasionally calls,0-3 purchase,light
B,Flight,183,medium,52,late,seldom calls,0-3 purchase,medium
C,Flight,229,medium,22,late,seldom calls,> 3 purchase,light
F,Flight,115,low,26,late,frequently calls,> 3 purchase,light
D,Flight,136,low,65,late,occasionally calls,0-3 purchase,light
F,Flight,212,low,21,late,occasionally calls,0-3 purchase,medium
A,Flight,171,low,24,late,occasionally calls,0-3 purchase,light
B,Flight,151,low,60,late,seldom calls,0-3 purchase,light
C,Flight,205,medium,39,late,seldom calls,0-3 purchase,medium
F,Flight,147,medium,23,late,frequently calls,0-3 purchase,light
D,Flight,155,low,29,late,seldom calls,0-3 purchase,light
F,Flight,165,low,20,late,frequently calls,0-3 purchase,light
A,Flight,230,low,32,late,frequently calls,0-3 purchase,medium
B,Flight,181,medium,13,late,seldom calls,> 3 purchase,light
C,Flight,234,low,55,late,frequently calls,0-3 purchase,medium
F,Flight,149,low,34,late,occasionally calls,0-3 purchase,light
D,Flight,156,low,44,late,frequently calls,0-3 purchase,light
F,Flight,172,medium,59,late,occasionally calls,0-3 purchase,light
A,Flight,270,low,12,late,occasionally calls,0-3 purchase,medium
B,Ship,206,medium,23,late,occasionally calls,0-3 purchase,medium
C,Ship,211,medium,40,late,occasionally calls,> 3 purchase,medium
F,Ship,136,low,62,late,seldom calls,> 3 purchase,light
D,Ship,186,high,52,late,frequently calls,0-3 purchase,medium
F,Ship,202,medium,62,late,seldom calls,0-3 purchase,medium
A,Ship,183,medium,12,late,occasionally calls,0-3 purchase,medium
B,Ship,232,low,36,late,occasionally calls,0-3 purchase,medium
C,Ship,147,medium,52,late,occasionally calls,> 3 purchase,light
F,Ship,136,medium,20,late,occasionally calls,0-3 purchase,light
D,Ship,127,low,43,late,frequently calls,0-3 purchase,light
F,Ship,202,medium,35,late,occasionally calls,0-3 purchase,medium
A,Ship,241,low,57,late,seldom calls,0-3 purchase,medium
B,Ship,222,medium,55,late,occasionally calls,0-3 purchase,medium
C,Ship,183,medium,12,late,seldom calls,> 3 purchase,light
F,Ship,249,medium,36,late,occasionally calls,0-3 purchase,medium
D,Ship,243,high,59,late,seldom calls,> 3 purchase,medium
F,Ship,163,medium,9,late,seldom calls,0-3 purchase,light
A,Ship,165,high,11,late,occasionally calls,0-3 purchase,light
B,Ship,266,medium,53,late,frequently calls,0-3 purchase,medium
C,Ship,193,medium,48,late,seldom calls,0-3 purchase,medium
F,Ship,154,low,56,late,seldom calls,0-3 purchase,light
D,Ship,140,medium,51,late,seldom calls,0-3 purchase,light
F,Ship,272,medium,38,late,occasionally calls,0-3 purchase,medium
A,Ship,143,medium,20,late,occasionally calls,> 3 purchase,light
B,Ship,138,low,30,late,occasionally calls,0-3 purchase,light
C,Ship,238,high,17,late,occasionally calls,0-3 purchase,medium
F,Ship,273,medium,31,late,occasionally calls,> 3 purchase,light
D,Ship,200,medium,27,late,seldom calls,0-3 purchase,light
F,Ship,213,low,39,late,occasionally calls,> 3 purchase,light
A,Ship,224,medium,15,late,seldom calls,0-3 purchase,light
B,Ship,141,medium,12,late,occasionally calls,0-3 purchase,light
C,Ship,150,low,46,late,seldom calls,0-3 purchase,light
F,Ship,192,low,33,late,seldom calls,0-3 purchase,medium
D,Ship,279,medium,24,late,frequently calls,> 3 purchase,medium
F,Ship,246,medium,30,late,seldom calls,0-3 purchase,medium
A,Ship,173,medium,52,late,seldom calls,0-3 purchase,light
B,Ship,233,medium,59,late,occasionally calls,> 3 purchase,light
C,Ship,274,medium,24,late,frequently calls,0-3 purchase,light
F,Ship,243,medium,41,late,occasionally calls,> 3 purchase,light
D,Ship,197,medium,56,late,seldom calls,0-3 purchase,medium
F,Ship,140,high,46,late,occasionally calls,0-3 purchase,light
A,Ship,215,medium,22,late,seldom calls,0-3 purchase,light
B,Ship,211,medium,8,late,seldom calls,0-3 purchase,medium
C,Ship,220,low,33,late,occasionally calls,> 3 purchase,medium
F,Ship,194,low,64,late,seldom calls,> 3 purchase,light
D,Ship,262,medium,58,late,frequently calls,0-3 purchase,medium
F,Ship,201,low,1,late,occasionally calls,0-3 purchase,medium
A,Ship,261,medium,15,late,seldom calls,0-3 purchase,medium
B,Ship,191,low,60,late,occasionally calls,> 3 purchase,medium
C,Ship,255,medium,53,late,seldom calls,> 3 purchase,medium
F,Ship,169,high,30,late,seldom calls,0-3 purchase,light
D,Ship,162,medium,64,late,occasionally calls,0-3 purchase,light
F,Ship,248,low,62,late,seldom calls,> 3 purchase,light
A,Ship,197,low,2,late,frequently calls,> 3 purchase,light
B,Ship,264,low,6,late,frequently calls,0-3 purchase,medium
C,Ship,260,medium,55,late,frequently calls,0-3 purchase,light
F,Ship,186,medium,58,late,frequently calls,0-3 purchase,light
D,Ship,233,low,44,late,occasionally calls,> 3 purchase,light
F,Ship,161,low,47,late,frequently calls,0-3 purchase,light
A,Ship,188,low,13,late,occasionally calls,0-3 purchase,light
B,Ship,171,medium,22,late,frequently calls,0-3 purchase,light
C,Ship,267,medium,15,late,seldom calls,0-3 purchase,light
F,Ship,255,high,47,late,occasionally calls,0-3 purchase,medium
D,Ship,132,low,56,late,seldom calls,0-3 purchase,light
F,Ship,266,low,31,late,frequently calls,0-3 purchase,medium
A,Ship,198,low,25,late,seldom calls,0-3 purchase,light
B,Ship,247,medium,62,late,seldom calls,0-3 purchase,medium
C,Ship,140,medium,65,late,seldom calls,0-3 purchase,light
F,Ship,131,low,6,late,occasionally calls,> 3 purchase,light
D,Ship,246,medium,49,late,frequently calls,0-3 purchase,medium
F,Ship,159,medium,4,late,seldom calls,0-3 purchase,light
A,Ship,203,medium,61,late,seldom calls,0-3 purchase,medium
B,Ship,187,high,29,late,occasionally calls,> 3 purchase,medium
C,Ship,146,low,62,late,frequently calls,0-3 purchase,light
F,Ship,234,medium,39,late,seldom calls,0-3 purchase,light
D,Ship,122,high,15,late,seldom calls,0-3 purchase,light
F,Ship,135,low,8,late,seldom calls,0-3 purchase,light
A,Ship,103,low,3,late,seldom calls,0-3 purchase,light
B,Ship,257,medium,19,late,seldom calls,0-3 purchase,light
C,Ship,169,low,2,late,occasionally calls,0-3 purchase,light
F,Ship,159,medium,18,late,occasionally calls,0-3 purchase,light
D,Ship,188,low,38,late,occasionally calls,0-3 purchase,medium
F,Ship,136,medium,19,late,frequently calls,0-3 purchase,light
A,Ship,227,low,19,late,frequently calls,0-3 purchase,medium
B,Ship,262,low,53,late,seldom calls,0-3 purchase,medium
C,Ship,157,low,45,late,seldom calls,0-3 purchase,light
F,Ship,238,medium,21,late,frequently calls,0-3 purchase,light
D,Ship,152,low,43,late,seldom calls,0-3 purchase,light
F,Ship,201,medium,5,late,seldom calls,0-3 purchase,light
A,Ship,148,low,54,late,seldom calls,0-3 purchase,light
B,Ship,199,low,59,late,frequently calls,> 3 purchase,medium
C,Ship,215,low,45,late,frequently calls,0-3 purchase,medium
F,Ship,175,low,40,late,occasionally calls,0-3 purchase,light
D,Road,236,high,23,late,occasionally calls,0-3 purchase,medium
F,Road,182,medium,57,late,seldom calls,0-3 purchase,medium
A,Road,251,medium,42,late,seldom calls,0-3 purchase,medium
B,Road,173,low,7,late,frequently calls,0-3 purchase,light
C,Road,225,low,62,late,occasionally calls,0-3 purchase,light
F,Road,167,low,20,late,occasionally calls,> 3 purchase,light
D,Road,259,low,20,late,occasionally calls,0-3 purchase,light
F,Road,178,medium,63,late,occasionally calls,0-3 purchase,light
A,Road,178,medium,13,late,occasionally calls,> 3 purchase,light
B,Road,169,low,20,late,frequently calls,0-3 purchase,light
C,Road,272,low,33,late,seldom calls,0-3 purchase,light
F,Road,183,low,29,late,occasionally calls,0-3 purchase,medium
D,Road,205,low,10,late,seldom calls,0-3 purchase,light
F,Road,123,low,53,late,seldom calls,> 3 purchase,light
A,Road,152,low,58,late,occasionally calls,0-3 purchase,light
B,Road,220,high,40,late,seldom calls,0-3 purchase,medium
C,Road,134,low,51,late,occasionally calls,0-3 purchase,light
F,Road,217,high,19,late,seldom calls,0-3 purchase,medium
D,Road,265,low,49,late,seldom calls,0-3 purchase,light
F,Road,249,medium,36,late,occasionally calls,> 3 purchase,medium
A,Road,213,medium,50,late,frequently calls,> 3 purchase,light
B,Road,124,low,56,late,seldom calls,0-3 purchase,light
C,Flight,180,low,23,late,occasionally calls,0-3 purchase,light
F,Flight,193,medium,65,late,occasionally calls,0-3 purchase,light
D,Flight,192,medium,43,late,seldom calls,0-3 purchase,medium
F,Flight,166,medium,3,late,seldom calls,0-3 purchase,light
A,Flight,264,medium,5,late,seldom calls,0-3 purchase,medium
B,Flight,200,medium,14,late,seldom calls,0-3 purchase,medium
C,Flight,142,medium,12,late,occasionally calls,> 3 purchase,light
F,Flight,215,low,32,late,occasionally calls,0-3 purchase,medium
D,Flight,218,low,15,late,seldom calls,0-3 purchase,light
F,Flight,115,low,27,late,seldom calls,0-3 purchase,light
A,Flight,159,low,33,late,occasionally calls,0-3 purchase,light
B,Flight,133,low,63,late,frequently calls,0-3 purchase,light
C,Flight,178,low,48,late,frequently calls,0-3 purchase,light
F,Flight,134,low,43,late,occasionally calls,0-3 purchase,light
D,Flight,184,medium,58,late,seldom calls,> 3 purchase,light
F,Flight,251,medium,24,late,occasionally calls,0-3 purchase,light
A,Flight,141,low,7,late,seldom calls,0-3 purchase,light
B,Flight,229,medium,45,late,occasionally calls,0-3 purchase,medium
C,Flight,203,low,34,late,occasionally calls,> 3 purchase,medium
F,Flight,158,medium,57,late,occasionally calls,0-3 purchase,light
D,Flight,167,medium,52,late,seldom calls,0-3 purchase,light
F,Flight,197,low,40,late,frequently calls,> 3 purchase,medium
A,Ship,140,low,19,late,seldom calls,0-3 purchase,light
B,Ship,205,medium,27,late,frequently calls,0-3 purchase,medium
C,Ship,208,low,45,late,frequently calls,0-3 purchase,light
F,Ship,96,low,22,late,occasionally calls,0-3 purchase,light
D,Ship,205,low,44,late,frequently calls,0-3 purchase,light
F,Ship,215,medium,48,late,occasionally calls,0-3 purchase,medium
A,Ship,216,low,43,late,occasionally calls,0-3 purchase,light
B,Ship,112,high,22,late,seldom calls,0-3 purchase,light
C,Ship,222,low,20,late,frequently calls,0-3 purchase,medium
F,Ship,186,medium,15,late,frequently calls,0-3 purchase,light
D,Ship,241,medium,48,late,seldom calls,0-3 purchase,medium
F,Ship,172,low,58,late,seldom calls,0-3 purchase,light
A,Ship,251,high,23,late,seldom calls,0-3 purchase,light
B,Ship,190,high,45,late,frequently calls,0-3 purchase,light
C,Ship,186,medium,48,late,occasionally calls,0-3 purchase,light
F,Ship,207,medium,35,late,occasionally calls,0-3 purchase,light
D,Ship,135,low,19,late,seldom calls,0-3 purchase,light
F,Ship,189,medium,18,late,occasionally calls,0-3 purchase,medium
A,Ship,173,medium,51,late,occasionally calls,> 3 purchase,light
